"paper_item","script","result_files","status","comment","script_exists","result_exists"
"Algorithm 1: Wald test for one parameter","26_SPBDBS2025_algorithm1_wald_test.R","SPBDBS2025_algorithm1_wald_results.csv","implemented","Check notation and scaling of sigma_hat.",TRUE,TRUE
"Algorithm 2: corrected goodness-of-fit test","27_SPBDBS2025_algorithm2_corrected_gof.R","SPBDBS2025_algorithm2_test_summary.csv","implemented","Check corrected/subsampled statistic against paper.",TRUE,TRUE
"Algorithm 3: equality Wald test","28_SPBDBS2025_algorithm3_equality_wald_test.R","SPBDBS2025_algorithm3_equality_wald_results.csv","implemented","Equality contrast implemented; min p-value can be 0 numerically.",TRUE,TRUE
"Algorithm 1 calibration","29_SPBDBS2025_wald_calibration.R","SPBDBS2025_wald_calibration_algorithm1_summary.csv","implemented","Looks calibrated around 5 percent.",TRUE,TRUE
"Algorithm 2 GOF calibration","30_SPBDBS2025_algorithm2_gof_calibration.R","SPBDBS2025_algorithm2_gof_calibration_summary.csv","implemented","Subsampled version appears best calibrated.",TRUE,TRUE
"Algorithm 3 calibration","29_SPBDBS2025_wald_calibration.R","SPBDBS2025_wald_calibration_algorithm3_summary.csv","implemented","Looks calibrated around 5 percent.",TRUE,TRUE
"Covariate-Hawkes model example","31_SPBDBS2025_covariate_model_example.R","SPBDBS2025_covariate_model_fit_summary.csv","implemented","Good recovery at T = 1000.",TRUE,TRUE
"Covariate Wald calibration","32_SPBDBS2025_covariate_wald_calibration.R","SPBDBS2025_covariate_wald_calibration_summary.csv","implemented","Mean rejection close to 5 percent.",TRUE,TRUE
"Covariate Algorithm 2 GOF","33_SPBDBS2025_covariate_algorithm2_gof.R","SPBDBS2025_covariate_algorithm2_gof_summary.csv","implemented_with_caveat","Runs end-to-end. Current corrected covariate GOF is an interface-level extension of residual diagnostics, not a separate theoretical SPBDBS covariate Algorithm 2.",TRUE,TRUE
"Project summary","99_collect_SPBDBS2025_results.R","SPBDBS2025_project_summary.csv","implemented","Includes scripts 26--33.",TRUE,TRUE
